,LotArea,YearBuilt,OverallQual,OverallCond,GrLivArea,MiscFeature,GarageArea,KitchenQual,SalePrice
0,8450,2003,7,5,1710,,548,Gd,208500
1,9600,1976,6,8,1262,,460,TA,181500
2,11250,2001,7,5,1786,,608,Gd,223500
3,9550,1915,7,5,1717,,642,Gd,140000
4,14260,2000,8,5,2198,,836,Gd,250000
5,14115,1993,5,5,1362,Shed,480,TA,143000
6,10084,2004,8,5,1694,,636,Gd,307000
7,10382,1973,7,6,2090,Shed,484,TA,200000
8,6120,1931,7,5,1774,,468,TA,129900
9,7420,1939,5,6,1077,,205,TA,118000
10,11200,1965,5,5,1040,,384,TA,129500
11,11924,2005,9,5,2324,,736,Ex,345000
12,12968,1962,5,6,912,,352,TA,144000
13,10652,2006,7,5,1494,,840,Gd,279500
14,10920,1960,6,5,1253,,352,TA,157000
15,6120,1929,7,8,854,,576,TA,132000
16,11241,1970,6,7,1004,Shed,480,TA,149000
17,10791,1967,4,5,1296,Shed,516,TA,90000
18,13695,2004,5,5,1114,,576,Gd,159000
19,7560,1958,5,6,1339,,294,TA,139000
20,14215,2005,8,5,2376,,853,Gd,325300
21,7449,1930,7,7,1108,,280,Gd,139400
22,9742,2002,8,5,1795,,534,Gd,230000
23,4224,1976,5,7,1060,,572,TA,129900
24,8246,1968,5,8,1060,,270,Gd,154000
25,14230,2007,8,5,1600,,890,Gd,256300
26,7200,1951,5,7,900,,576,Gd,134800
27,11478,2007,8,5,1704,,772,Gd,306000
28,16321,1957,5,6,1600,,319,TA,207500
29,6324,1927,4,6,520,,240,Fa,68500
30,8500,1920,4,4,1317,,250,TA,40000
31,8544,1966,5,6,1228,,271,Gd,149350
32,11049,2007,8,5,1234,,484,Gd,179900
33,10552,1959,5,5,1700,,447,Gd,165500
34,7313,2005,9,5,1561,,556,Ex,277500
35,13418,2004,8,5,2452,,691,Gd,309000
36,10859,1994,5,5,1097,,672,TA,145000
37,8532,1954,5,6,1297,,498,TA,153000
38,7922,1953,5,7,1057,,246,Gd,109000
39,6040,1955,4,5,1152,,0,Fa,82000
40,8658,1965,6,5,1324,,440,TA,160000
41,16905,1959,5,6,1328,,308,TA,170000
42,9180,1983,5,7,884,,504,Gd,144000
43,9200,1975,5,6,938,,308,TA,130250
44,7945,1959,5,6,1150,,300,TA,141000
45,7658,2005,9,5,1752,,576,Ex,319900
46,12822,2003,7,5,2149,,670,Gd,239686
47,11096,2006,8,5,1656,,826,Gd,249700
48,4456,1920,4,5,1452,,0,TA,113000
49,7742,1966,5,7,955,,386,TA,127000
50,13869,1997,6,6,1470,,388,TA,177000
51,6240,1934,6,6,1176,Shed,528,TA,114500
52,8472,1963,5,5,816,,516,TA,110000
53,50271,1981,9,5,1842,,894,Gd,385000
54,7134,1955,5,5,1360,,572,TA,130000
55,10175,1964,6,5,1425,,576,TA,180500
56,2645,1999,8,5,1739,,480,Gd,172500
57,11645,2004,7,5,1720,,565,Gd,196500
58,13682,2006,10,5,2945,,641,Gd,438780
59,7200,1972,5,7,780,,352,TA,124900
60,13072,2004,6,5,1158,,576,Gd,158000
61,7200,1920,5,7,1111,,288,Fa,101000
62,6442,2006,8,5,1370,,484,Gd,202500
63,10300,1921,7,6,1710,,480,TA,140000
64,9375,1997,7,5,2034,,645,Gd,219500
65,9591,2004,8,5,2473,,852,Gd,317000
66,19900,1970,7,5,2207,,576,TA,180000
67,10665,2003,7,5,1479,,558,Gd,226000
68,4608,1945,4,6,747,,220,TA,80000
69,15593,1953,7,4,2287,,667,TA,225000
70,13651,1973,7,6,2223,,516,TA,244000
71,7599,1982,4,6,845,,360,TA,129500
72,10141,1998,7,5,1718,,427,TA,185000
73,10200,1954,5,7,1086,,490,TA,144900
74,5790,1915,3,6,1605,,379,TA,107400
75,1596,1973,4,5,988,,297,TA,91000
76,8475,1956,4,7,952,,283,TA,135750
77,8635,1948,5,5,1285,,240,TA,127000
78,10778,1968,4,5,1768,,0,TA,136500
79,10440,1910,5,6,1230,,440,TA,110000
80,13000,1968,6,6,2142,,509,Gd,193500
81,4500,1998,6,5,1337,,405,TA,153500
82,10206,2007,8,5,1563,,758,Gd,245000
83,8892,1960,5,5,1065,,461,TA,126500
84,8530,1995,7,5,1474,Shed,400,TA,168500
85,16059,1991,8,5,2417,,462,Gd,260000
86,11911,2005,6,5,1560,,400,Gd,174000
87,3951,2009,6,5,1224,,528,Gd,164500
88,8470,1915,3,2,1526,,0,Fa,85000
89,8070,1994,4,5,990,,0,TA,123600
90,7200,1950,4,5,1040,,420,TA,109900
91,8500,1961,5,3,1235,,480,TA,98600
92,13360,1921,5,7,964,,432,TA,163500
93,7200,1910,6,6,2291,,506,TA,133900
94,9337,1997,6,5,1786,,684,Gd,204750
95,9765,1993,6,8,1470,Shed,420,TA,185000
96,10264,1999,7,5,1588,,472,Gd,214000
97,10921,1965,4,5,960,,432,TA,94750
98,10625,1920,5,5,835,Shed,366,TA,83000
99,9320,1959,4,5,1225,Shed,0,TA,128950
100,10603,1977,6,7,1610,,480,Gd,205000
101,9206,1985,6,5,1732,,476,Gd,178000
102,7018,1979,5,5,1535,,410,TA,118964
103,10402,2009,7,5,1226,,740,Gd,198900
104,7758,1931,7,4,1818,,240,TA,169500
105,9375,2003,8,5,1992,,648,Gd,250000
106,10800,1885,4,7,1047,Shed,273,TA,100000
107,6000,1948,5,5,789,,250,TA,115000
108,8500,1919,5,7,1517,,0,Fa,115000
109,11751,1977,6,6,1844,,546,TA,190000
110,9525,1954,6,4,1855,,325,TA,136900
111,7750,2000,7,5,1430,,400,TA,180000
112,9965,2007,7,5,2696,,792,Ex,383970
113,21000,1953,6,5,2259,,450,Gd,217000
114,7259,1945,6,8,2320,,180,Gd,259500
115,3230,1999,6,5,1458,,440,TA,176000
116,11616,1962,5,5,1092,,288,TA,139000
117,8536,2006,5,5,1125,,430,TA,155000
118,12376,1990,7,5,3222,,594,Gd,320000
119,8461,2005,6,5,1456,,390,Gd,163990
120,21453,1969,6,5,988,,540,TA,180000
121,6060,1939,4,5,1123,,264,TA,100000
122,9464,1958,6,7,1080,,288,TA,136000
123,7892,1993,6,5,1199,,530,Gd,153900
124,17043,1979,6,5,1586,,435,TA,181000
125,6780,1935,6,8,754,,0,TA,84500
126,4928,1976,6,5,958,,440,TA,128000
127,4388,1930,5,7,840,,0,TA,87000
128,7590,1966,6,5,1348,,453,TA,155000
129,8973,1958,5,7,1053,,750,Ex,150000
130,14200,1966,7,6,2157,,487,Gd,226000
131,12224,2000,6,5,2054,,390,Gd,244000
132,7388,1959,5,6,1327,,624,Gd,150750
133,6853,2001,8,5,1296,,471,Gd,220000
134,10335,1968,5,6,1721,,440,TA,180000
135,10400,1970,7,6,1682,,530,TA,174000
136,10355,1967,5,5,1214,,318,TA,143000
137,11070,1988,7,5,1959,,766,TA,171000
138,9066,1999,8,5,1852,,660,Gd,230000
139,15426,1997,6,5,1764,,470,Gd,231500
140,10500,1971,4,5,864,,0,TA,115000
141,11645,2005,7,5,1734,,660,Gd,260000
142,8520,1952,5,4,1385,,720,TA,166000
143,10335,1999,7,5,1501,,577,Gd,204000
144,9100,1963,5,5,1728,,504,TA,125000
145,2522,2004,6,5,1709,,380,Gd,130000
146,6120,1931,5,7,875,,180,TA,105000
147,9505,2001,7,5,2035,,434,Gd,222500
148,7500,2004,7,5,1080,,0,Gd,141000
149,6240,1936,5,4,1344,,240,TA,115000
150,10356,1975,5,6,969,,440,TA,122000
151,13891,2007,8,5,1710,,866,Gd,372402
152,14803,1971,6,5,1993,,495,TA,190000
153,13500,1960,6,7,1252,,564,TA,235000
154,11340,1923,6,5,1200,,312,TA,125000
155,9600,1924,6,5,1096,,0,TA,79000
156,7200,1950,5,7,1040,,625,TA,109500
157,12003,2009,8,5,1968,,680,Ex,269500
158,12552,2004,7,5,1947,,678,Gd,254900
159,19378,2005,7,5,2462,,576,Gd,320000
160,11120,1984,6,6,1232,,516,TA,162500
161,13688,2003,9,5,2668,,726,Ex,412500
162,12182,2005,7,5,1541,,532,Gd,220000
163,5500,1956,4,6,882,,0,TA,103200
164,5400,1926,6,7,1616,,216,Gd,152000
165,10106,1940,5,7,1355,,0,TA,127500
166,10708,1955,5,5,1867,,303,TA,190000
167,10562,2007,8,5,2161,,789,Ex,325624
168,8244,2004,7,5,1720,,440,Gd,183500
169,16669,1981,8,6,1707,,511,TA,228000
170,12358,1941,5,6,1382,,660,TA,128500
171,31770,1960,6,5,1656,,528,TA,215000
172,5306,1987,7,7,1767,,504,Gd,239000
173,10197,1961,6,5,1362,,504,TA,163000
174,12416,1986,6,5,1651,,616,TA,184000
175,12615,1950,6,7,2158,,576,Gd,243000
176,10029,1988,6,5,2060,,521,TA,211000
177,13650,1958,5,5,1920,,451,Gd,172500
178,17423,2008,9,5,2234,,1166,Ex,501837
179,8520,1923,5,6,968,,480,TA,100000
180,2117,2000,6,5,1525,,440,Gd,177000
181,7588,1920,7,6,1802,,216,TA,200100
182,9060,1957,5,6,1340,,252,TA,120000
183,11426,2003,7,5,2082,,484,Gd,200000
184,7438,1908,5,8,1252,,576,TA,127000
185,22950,1892,10,9,3608,,840,Ex,475000
186,9947,1990,7,5,1217,,497,Gd,173000
187,10410,1916,5,7,1656,,180,TA,135000
188,7018,1979,5,5,1224,,528,TA,153337
189,4923,2001,8,5,1593,,682,Ex,286000
190,10570,1932,8,8,2727,,440,Gd,315000
191,7472,1972,7,9,1479,,484,Gd,184000
192,9017,1999,7,5,1431,,666,Gd,192000
193,2522,2004,7,5,1709,,380,Gd,130000
194,7180,1972,5,7,864,,352,TA,127000
195,2280,1976,6,6,1456,,440,TA,148500
196,9416,2007,7,5,1726,,786,Ex,311872
197,25419,1918,8,4,3112,,795,Gd,235000
198,5520,1912,6,6,2229,,0,TA,104000
199,9591,2004,8,5,1713,,856,Ex,274900
200,8546,2003,4,5,1121,,440,TA,140000
201,10125,1977,6,6,1279,,473,TA,171500
202,7000,1924,6,6,1310,,398,TA,112000
203,4438,2004,6,5,848,,420,Gd,149000
204,3500,1947,5,7,1284,,240,TA,110000
205,11851,1990,7,5,1442,,500,TA,180500
206,13673,1962,5,5,1696,,349,TA,143900
207,12493,1960,4,5,1100,,312,TA,141000
208,14364,1988,7,5,2062,,454,TA,277000
209,8250,1964,6,7,1092,,504,TA,145000
210,5604,1925,5,6,864,,0,TA,98000
211,10420,2009,6,5,1212,,460,Gd,186000
212,8640,2009,7,5,1852,,644,Gd,252678
213,13568,1995,5,5,990,,576,TA,156000
214,10900,1977,6,7,1392,Shed,299,TA,161750
215,10011,1957,5,6,1236,,447,Gd,134450
216,8450,2004,7,5,1436,,484,Gd,210000
217,9906,1925,4,4,1328,,210,TA,107000
218,15660,1939,7,9,1954,,431,Gd,311500
219,3010,2005,7,5,1248,,438,Gd,167240
220,8990,2006,7,5,1498,,675,Gd,204900
221,8068,2002,6,5,2267,,390,Gd,200000
222,11475,1975,6,6,1552,,434,TA,179900
223,10500,1971,4,6,864,,576,TA,97000
224,13472,2003,10,5,2392,,968,Ex,386250
225,1680,1971,5,5,1302,,280,TA,112000
226,9950,1995,7,5,2520,,721,Gd,290000
227,1869,1970,6,6,987,,280,TA,106000
228,8521,1967,5,5,912,,336,TA,125000
229,3182,2005,7,5,1555,,430,Gd,192500
230,8760,1959,6,6,1194,,312,TA,148000
231,15138,1995,8,5,2794,,810,Ex,403000
232,1680,1972,6,5,987,,288,TA,94500
233,10650,1976,5,6,894,,308,TA,128200
234,7851,2002,6,5,1960,,440,Gd,216500
235,1680,1971,6,3,987,,264,TA,89500
236,8773,2004,7,5,1414,,494,Gd,185500
237,9453,1993,7,7,1744,,457,Gd,194500
238,12030,2007,8,5,1694,,818,Gd,318000
239,8741,1945,6,4,1487,,220,TA,113000
240,9000,2008,8,5,1566,,750,Gd,262500
241,3880,1945,5,9,866,,0,Gd,110500
242,5000,1900,5,4,1440,,352,TA,79000
243,10762,1980,6,6,1217,,288,TA,120000
244,8880,1994,7,5,2110,,463,Gd,205000
245,10400,1988,7,5,1872,,604,TA,241500
246,9142,1910,6,8,1928,,440,Fa,137000
247,11310,1954,6,5,1375,,451,TA,140000
248,11317,2003,7,5,1668,,500,Gd,180000
249,159000,1958,6,7,2144,Shed,389,Gd,277000
250,5350,1940,3,2,1306,Shed,0,Fa,76500
251,4750,2006,8,5,1625,,538,Gd,235000
252,8366,2004,6,5,1640,,520,Gd,173000
253,9350,1964,6,7,1302,,309,Gd,158000
254,8400,1957,5,6,1314,,294,TA,145000
255,8738,1999,7,5,2291,,429,Gd,230000
256,8791,2003,6,5,1728,,673,Gd,207500
257,8814,2006,7,5,1604,,660,Gd,220000
258,12435,2001,7,5,1792,,564,Gd,231500
259,12702,1956,5,5,882,,308,TA,97000
260,19296,1962,6,5,1382,,884,TA,176000
261,9588,2007,8,5,2574,,868,Ex,276000
262,8471,1977,6,7,1212,,492,TA,151000
263,5500,1929,5,7,1316,,484,TA,130000
264,5232,1925,5,5,764,,504,TA,73000
265,12090,1981,6,6,1422,,576,Gd,175500
266,11207,1997,6,5,1511,,413,TA,185000
267,8400,1939,5,8,2192,,240,Gd,179500
268,6900,1940,5,6,778,,924,TA,120500
269,7917,1976,6,7,1113,,504,TA,148000
270,10728,2006,8,5,1939,,1053,Gd,266000
271,39104,1954,7,7,1363,,439,TA,241500
272,11764,1999,8,7,2270,,671,Gd,290000
273,9600,1958,6,6,1632,,338,TA,139000
274,8314,1982,5,7,816,,264,TA,124500
275,7264,1925,7,7,1548,,672,Ex,205000
276,9196,2003,7,5,1560,,573,Gd,201000
277,19138,1951,4,5,864,,400,TA,141000
278,14450,2006,9,5,2121,,732,Ex,415298
279,10005,1977,7,5,2022,,505,TA,192000
280,11287,1989,7,6,1982,,575,Gd,228500
281,7200,2006,6,5,1262,,572,Gd,185000
282,5063,2007,7,5,1314,,626,Gd,207500
283,9612,2008,8,5,1468,,898,Gd,244600
284,8012,1992,6,5,1575,,529,Gd,179200
285,4251,2006,7,5,1250,,528,Gd,164700
286,9786,1962,6,7,1734,,440,Gd,159000
287,8125,1971,4,4,858,,0,TA,88000
288,9819,1967,5,5,900,,280,TA,122000
289,8730,1915,6,7,1396,,384,TA,153575
290,15611,2006,8,5,1919,,685,Gd,233230
291,5687,1912,5,6,1716,,0,Fa,135900
292,11409,1949,5,4,1716,,281,TA,131000
293,16659,1977,7,7,2263,,539,Gd,235000
294,9600,1953,6,5,1644,,418,TA,167000
295,7937,1984,6,6,1003,,588,TA,142500
296,13710,1950,5,5,1558,,282,TA,152000
297,7399,1997,7,5,1950,,576,Gd,239000
298,11700,1968,6,6,1743,,539,TA,175000
299,14000,1950,6,8,1152,,300,Gd,158500
300,15750,1953,5,5,1336,,375,TA,157000
301,16226,1998,8,5,2452,,683,Gd,267000
302,13704,2001,7,5,1541,,843,Gd,205000
303,9800,1972,5,7,894,,552,TA,149900
304,18386,1880,7,9,3493,,870,Gd,295000
305,10386,2004,8,5,2000,,888,Gd,305900
306,13474,1990,7,5,2243,,746,Gd,225000
307,7920,1920,6,7,1406,,0,Fa,89500
308,12342,1940,4,5,861,,539,TA,82500
309,12378,2003,9,5,1944,,708,Ex,360000
310,7685,1993,6,5,1501,,420,Gd,165600
311,8000,1948,6,6,972,,240,TA,132000
312,7800,1939,5,7,1118,,410,TA,119900
313,215245,1965,7,5,2036,,513,TA,375000
314,9600,1925,7,7,1641,,546,Ex,178000
315,7795,2004,7,5,1432,,432,Gd,188500
316,13005,1980,7,7,2353,,484,Ex,260000
317,9000,2006,8,5,1959,,1025,Gd,270000
318,9900,1993,7,5,2646,,656,Gd,260000
319,14115,1980,7,5,1472,,588,TA,187500
320,16259,2006,9,5,2596,,840,Gd,342643
321,12099,2004,8,5,2468,,872,Gd,354000
322,10380,1986,7,5,2730,,576,Gd,301000
323,5820,1955,3,8,1163,,220,TA,126175
324,11275,1967,7,7,2978,,564,Gd,242000
325,5000,1941,5,6,803,,360,TA,87000
326,10846,1993,8,5,1719,,473,Gd,324000
327,11600,1960,6,5,1383,,292,TA,145250
328,11888,1916,6,6,2134,,441,Gd,214500
329,6402,1920,5,5,1192,,189,TA,78000
330,10624,1964,5,4,1728,,352,TA,119000
331,8176,1958,5,6,1056,,308,TA,139000
332,10655,2003,8,5,1629,,880,Gd,284000
333,8198,2004,7,5,1358,,484,Gd,207000
334,9042,1998,6,5,1638,,472,TA,192000
335,164660,1965,5,6,1786,Shed,529,TA,228950
336,14157,2005,9,5,1922,,676,Gd,377426
337,9135,2002,7,5,1536,,532,Gd,214000
338,14145,1984,7,7,1621,Shed,440,Gd,202500
339,12400,1958,6,7,1215,,297,TA,155000
340,14191,2002,8,5,1908,,431,Gd,202900
341,8400,1950,4,4,841,,294,TA,82000
342,8544,1949,3,4,1040,,400,TA,87500
343,8849,2005,9,5,1684,,564,Ex,266000
344,2592,1976,5,3,1112,,336,TA,85000
345,6435,1939,6,5,1577,,312,Fa,140200
346,12772,1960,6,8,958,Gar2,301,TA,151500
347,17600,1960,6,5,1478,,498,TA,157500
348,2448,2003,7,5,1626,,474,Gd,154000
349,20431,2005,9,5,2728,,706,Ex,437154
350,7820,2007,9,5,1869,,617,Ex,318061
351,5271,1986,7,5,1453,,445,Gd,190000
352,9084,1941,5,6,1111,,200,TA,95000
353,8520,1928,6,8,720,,484,TA,105900
354,8400,1940,6,5,1595,,240,TA,140000
355,11249,1995,6,5,1200,,521,Gd,177500
356,9248,1992,6,6,1167,,400,Gd,173000
357,4224,1976,5,5,1142,,528,TA,134000
358,6930,1958,5,4,1352,,288,Gd,130000
359,12011,1998,8,5,1924,,592,Gd,280000
360,7540,1978,6,6,912,,470,TA,156000
361,9144,1940,5,5,1505,,240,TA,145000
362,7301,2003,7,5,1922,,672,Gd,198500
363,1680,1972,6,8,987,,264,Gd,118000
364,18800,1976,6,5,1574,,566,TA,190000
365,10690,1920,5,7,1344,,468,TA,147000
366,9500,1963,6,5,1394,,514,TA,159000
367,9150,1962,6,5,1431,,296,TA,165000
368,7800,1954,5,6,1268,,244,TA,132000
369,9830,1959,5,7,1287,,576,Gd,162000
370,8121,2000,6,5,1664,,460,TA,172400
371,17120,1959,4,4,1588,,680,TA,134432
372,7175,1984,6,5,752,,264,TA,125000
373,10634,1953,5,6,1319,,270,TA,123000
374,8200,2003,7,5,1928,,434,Gd,219500
375,10020,1922,1,1,904,,0,Fa,61000
376,8846,1996,5,5,914,,576,TA,148000
377,11143,2004,8,5,2466,,610,Gd,340000
378,11394,2010,9,2,1856,,834,Ex,394432
379,8123,2000,6,5,1800,,463,TA,179000
380,5000,1924,5,6,1691,,308,Gd,127000
381,7200,2006,7,5,1301,,572,Gd,187750
382,9245,2006,7,5,1797,,639,Gd,213500
383,9000,1928,6,3,784,,360,TA,76000
384,53107,1992,6,5,1953,,501,Gd,240000
385,3182,2004,8,5,1269,,430,Gd,192000
386,8410,1910,5,3,1184,,0,TA,81000
387,7200,1976,6,6,1125,,352,TA,125000
388,9382,1999,7,5,1479,,577,Gd,191000
389,12474,2007,10,5,2332,,846,Ex,426000
390,8405,1900,5,8,1367,,384,TA,119000
391,12209,2001,6,5,1961,,560,Gd,215000
392,8339,1959,5,7,882,Shed,294,TA,106500
393,7446,1941,4,5,788,,0,TA,100000
394,10134,1940,5,6,1034,,240,TA,109000
395,9571,1956,5,6,1144,,596,TA,129000
396,7200,1972,5,5,894,,600,TA,123000
397,7590,1962,5,5,1812,,264,TA,169500
398,8967,1920,5,2,1077,,338,TA,67000
399,8125,2006,7,5,1550,,438,Gd,241000
400,14963,1996,8,5,1288,,500,Ex,245500
401,8767,2005,7,5,1310,,400,Gd,164990
402,10200,1940,5,8,672,,240,TA,108000
403,12090,1998,8,5,2263,,420,Gd,258000
404,10364,1995,6,5,1572,,373,TA,168000
405,9991,1976,4,4,1620,,490,TA,150000
406,10480,1936,6,5,1639,,240,TA,115000
407,15576,1915,6,7,1680,,308,TA,177000
408,14154,2006,7,5,2172,,947,Gd,280000
409,10800,2007,8,5,2078,,836,Ex,339750
410,9571,1958,5,3,1276,,350,TA,60000
411,34650,1955,5,5,1056,,572,TA,145000
412,4403,2009,7,5,1478,,484,Gd,222000
413,8960,1927,5,6,1028,,360,TA,115000
414,11228,1993,7,5,2097,,678,Gd,228000
415,8899,2007,7,5,1340,,396,Gd,181134
416,7844,1978,6,7,1400,,440,TA,149500
417,22420,1918,6,6,2624,,864,TA,239000
418,8160,1940,5,6,1134,,240,TA,126000
419,8450,1968,5,6,1056,,304,TA,142000
420,7060,1997,7,5,1344,,784,TA,206300
421,16635,1977,6,7,1602,,529,Gd,215000
422,21750,1954,5,5,988,,520,TA,113000
423,9200,1998,8,5,2630,,696,Gd,315000
424,9000,1956,6,5,1196,,297,TA,139000
425,3378,1946,7,8,1389,,240,TA,135000
426,12800,1989,7,5,1644,,569,Gd,275000
427,8593,1957,4,6,907,,352,TA,109008
428,6762,2007,7,5,1208,,628,Gd,195400
429,11457,1988,6,5,1412,,576,Gd,175000
430,1680,1971,6,5,987,,264,TA,85400
431,5586,1920,6,7,1198,,0,TA,79900
432,1920,1971,5,5,1365,,440,TA,122500
433,10839,1997,6,5,1604,,470,TA,181000
434,1890,1972,4,7,630,,0,TA,81000
435,10667,1996,7,6,1661,,550,Gd,212000
436,4400,1920,6,8,1118,,440,TA,116000
437,6000,1926,6,7,904,,180,TA,119000
438,4280,1913,5,6,694,,352,Gd,90350
439,12354,1920,6,8,1196,Shed,528,Gd,110000
440,15431,2008,10,5,2402,,672,Ex,555000
441,12108,1955,4,4,1440,,0,Fa,118000
442,6240,1930,5,7,1573,,360,TA,162900
443,3922,2006,7,5,1258,,648,Gd,172500
444,8750,1994,7,5,1908,,493,Gd,210000
445,9855,1956,6,5,1689,,480,TA,127500
446,16492,1966,6,6,1888,,578,Gd,190000
447,11214,1998,7,5,1886,,431,Gd,199900
448,8600,1937,6,6,1376,,198,TA,119500
449,6000,1948,3,7,1183,,308,TA,120000
450,5684,1930,6,8,813,,270,Gd,110000
451,70761,1975,7,5,1533,,576,Gd,280000
452,9303,1996,6,5,1756,,422,TA,204000
453,9000,2008,8,5,1590,,676,Gd,210000
454,9297,1976,5,5,1728,,560,TA,188000
455,9600,1973,7,6,1242,,528,TA,175500
456,4571,1916,5,5,1344,,513,TA,98000
457,53227,1954,4,6,1663,,529,Gd,256000
458,5100,1925,8,7,1666,,228,Gd,161000
459,7015,1950,5,4,1203,,352,Gd,110000
460,8004,2009,8,5,1935,,552,TA,263435
461,7200,1936,7,9,1135,,576,Gd,155000
462,8281,1965,5,5,864,,360,TA,62383
463,11988,1934,6,7,1660,,240,TA,188700
464,8430,1978,5,5,1040,,0,TA,124000
465,3072,2004,7,5,1414,,398,Gd,178740
466,10628,1970,7,5,1277,,526,TA,167000
467,9480,1942,5,7,1644,,312,Gd,146500
468,11428,2006,8,5,1634,,866,Gd,250000
469,9291,1993,6,5,1710,,506,Gd,187000
470,6820,1985,8,5,1502,,528,Gd,212000
471,11952,1977,7,6,1969,,534,TA,190000
472,3675,2005,6,5,1072,,525,TA,148000
473,14977,2006,8,5,1976,,908,Gd,440000
474,5330,2000,8,5,1652,,499,Ex,251000
475,8480,1963,5,6,970,,624,TA,132500
476,13125,1997,6,5,1493,,508,Gd,208900
477,13693,2006,9,5,2643,,694,Ex,380000
478,10637,2007,8,5,1718,,826,Gd,297000
479,5925,1937,4,7,1131,,672,TA,89471
480,16033,2004,9,5,1850,,772,Gd,326000
481,11846,2003,9,5,1792,,874,Ex,374000
482,2500,1915,7,8,1826,,164,Ex,155000
483,4500,1998,6,5,1216,,402,TA,164000
484,7758,1962,5,7,999,,264,Gd,132500
485,9600,1950,5,7,1113,,264,Gd,147000
486,10289,1965,5,7,1073,,515,TA,156000
487,12243,1971,5,6,1484,,487,TA,175000
488,10800,1900,5,4,2414,,520,TA,160000
489,1526,1970,4,8,630,,286,Gd,86000
